Nr;Titel Original;Titel Deutsch;Jahr;Regissure;Hauptdarsteller;Produktionsland;IMDB-Top 250;IMDb-Charts;Studio;Genre;Einspielergebnise;YT-Link Englisch;YT-Link Deutsch;App-Link;App-Link_Video-1_DE;App-Link_Video-1_EN;App-Link_Video-2_DE;App-Link_Video-2_EN;App-Link_Video-3_DE;App-Link_Video-3_EN;QR-Cod Pfad
081;Drive;Drive;2011;Nicolas Winding Refn;Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks, Oscar Isaac;USA;Nein;7,8;FilmDistrict;Drama, Thriller, Krimi;$78,100,000;https://www.youtube.com/watch?v=KBiOF3y1W0Y;https://www.youtube.com/watch?v=AH9SAOfz1II;filmster://result?id=081;https://filmster.b-cdn.net/081/Filmster_081_DE_Video-1.mp4;https://filmster.b-cdn.net/081/Filmster_081_EN_Video-1.mp4;https://filmster.b-cdn.net/081/Filmster_081_DE_Video-2.mp4;https://filmster.b-cdn.net/081/Filmster_081_EN_Video-2.mp4;https://filmster.b-cdn.net/081/Filmster_081_DE_Video-3.mp4;https://filmster.b-cdn.net/081/Filmster_081_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_081_QR.png
082;There Will Be Blood;There Will Be Blood;2007;Paul Thomas Anderson;Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciarán Hinds, Dillon Freasier;USA;Ja;8,2;Paramount Vantage;Drama;$77,208,711;https://www.youtube.com/watch?v=FeSLPELpMeM;https://www.youtube.com/watch?v=O--avb7ZLZs;filmster://result?id=082;https://filmster.b-cdn.net/082/Filmster_082_DE_Video-1.mp4;https://filmster.b-cdn.net/082/Filmster_082_EN_Video-1.mp4;https://filmster.b-cdn.net/082/Filmster_082_DE_Video-2.mp4;https://filmster.b-cdn.net/082/Filmster_082_EN_Video-2.mp4;https://filmster.b-cdn.net/082/Filmster_082_DE_Video-3.mp4;https://filmster.b-cdn.net/082/Filmster_082_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_082_QR.png
083;Magnolia;Magnolia;1999;Paul Thomas Anderson;Tom Cruise, Philip Baker Hall, Philip Seymour Hoffman, Julianne Moore, William H. Macy;USA;Ja;8;New Line Cinema;Drama;$48,500,000;https://www.youtube.com/watch?v=KnamcFv_N9Q;https://www.youtube.com/watch?v=KnamcFv_N9Q;filmster://result?id=083;https://filmster.b-cdn.net/083/Filmster_083_DE_Video-1.mp4;https://filmster.b-cdn.net/083/Filmster_083_EN_Video-1.mp4;https://filmster.b-cdn.net/083/Filmster_083_DE_Video-2.mp4;https://filmster.b-cdn.net/083/Filmster_083_EN_Video-2.mp4;https://filmster.b-cdn.net/083/Filmster_083_DE_Video-3.mp4;https://filmster.b-cdn.net/083/Filmster_083_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_083_QR.png
084;Boogie Nights;Boogie Nights;1997;Paul Thomas Anderson;Mark Wahlberg, Burt Reynolds, Julianne Moore, John C. Reilly, Heather Graham;USA;Nein;7,9;New Line Cinema;Drama;$43,101,594;https://www.youtube.com/watch?v=YN7pcEa83dU;https://www.youtube.com/watch?v=b599x6LEA7E;filmster://result?id=084;https://filmster.b-cdn.net/084/Filmster_084_DE_Video-1.mp4;https://filmster.b-cdn.net/084/Filmster_084_EN_Video-1.mp4;https://filmster.b-cdn.net/084/Filmster_084_DE_Video-2.mp4;https://filmster.b-cdn.net/084/Filmster_084_EN_Video-2.mp4;https://filmster.b-cdn.net/084/Filmster_084_DE_Video-3.mp4;https://filmster.b-cdn.net/084/Filmster_084_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_084_QR.png
085;Before Sunrise;Before Sunrise;1995;Richard Linklater;Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl, Karl Bruckschwaiger;USA, Austria;Ja;8,1;Castle Rock Entertainment;Drama, Liebesfilm;$5,987,386;https://www.youtube.com/watch?v=6MUcuqbGTxc;https://www.youtube.com/watch?v=6MUcuqbGTxc;filmster://result?id=085;https://filmster.b-cdn.net/085/Filmster_085_DE_Video-1.mp4;https://filmster.b-cdn.net/085/Filmster_085_EN_Video-1.mp4;https://filmster.b-cdn.net/085/Filmster_085_DE_Video-2.mp4;https://filmster.b-cdn.net/085/Filmster_085_EN_Video-2.mp4;https://filmster.b-cdn.net/085/Filmster_085_DE_Video-3.mp4;https://filmster.b-cdn.net/085/Filmster_085_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_085_QR.png
086;Boyhood;Boyhood;2014;Richard Linklater;Ellar Coltrane, Patricia Arquette, Ethan Hawke, Lorelei Linklater, Libby Villari;USA;Nein;7,9;IFC Productions;Drama;$48,137,666;https://www.youtube.com/watch?v=Y0oX0xiwOv8;https://www.youtube.com/watch?v=kD3ucqW1bw8;filmster://result?id=086;https://filmster.b-cdn.net/086/Filmster_086_DE_Video-1.mp4;https://filmster.b-cdn.net/086/Filmster_086_EN_Video-1.mp4;https://filmster.b-cdn.net/086/Filmster_086_DE_Video-2.mp4;https://filmster.b-cdn.net/086/Filmster_086_EN_Video-2.mp4;https://filmster.b-cdn.net/086/Filmster_086_DE_Video-3.mp4;https://filmster.b-cdn.net/086/Filmster_086_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_086_QR.png
087;Ex Machina;Ex Machina;2015;Alex Garland;Domhnall Gleeson, Alicia Vikander, Oscar Isaac, Sonoya Mizuno, Corey Johnson;USA;Nein;7,1;DNA Films;Drama, Science Fiction;$36,869,414;https://www.youtube.com/watch?v=EoQuVnKhxaM;https://www.youtube.com/watch?v=WR46DcBXIp8;filmster://result?id=087;https://filmster.b-cdn.net/087/Filmster_087_DE_Video-1.mp4;https://filmster.b-cdn.net/087/Filmster_087_EN_Video-1.mp4;https://filmster.b-cdn.net/087/Filmster_087_DE_Video-2.mp4;https://filmster.b-cdn.net/087/Filmster_087_EN_Video-2.mp4;https://filmster.b-cdn.net/087/Filmster_087_DE_Video-3.mp4;https://filmster.b-cdn.net/087/Filmster_087_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_087_QR.png
088;12 Years a Slave;12 Years a Slave;2013;Steve McQueen;Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o, Benedict Cumberbatch, Paul Dano;UK, USA;Ja;8,1;New Regency Pictures;Drama, Historie;$187,000,000;https://www.youtube.com/watch?v=z02Ie8wKKRg;https://www.youtube.com/watch?v=kuZS_tVovOA;filmster://result?id=088;https://filmster.b-cdn.net/088/Filmster_088_DE_Video-1.mp4;https://filmster.b-cdn.net/088/Filmster_088_EN_Video-1.mp4;https://filmster.b-cdn.net/088/Filmster_088_DE_Video-2.mp4;https://filmster.b-cdn.net/088/Filmster_088_EN_Video-2.mp4;https://filmster.b-cdn.net/088/Filmster_088_DE_Video-3.mp4;https://filmster.b-cdn.net/088/Filmster_088_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_088_QR.png
089;The Florida Project;The Florida Project;2017;Sean Baker;Brooklynn Prince, Bria Vinaite, Willem Dafoe, Christopher Rivera, Valeria Cotto;USA;Nein;7,6;Cre Film;Drama;$11,303,040;https://www.youtube.com/watch?v=WwQ-NH1rRT4;https://www.youtube.com/watch?v=fRCFU90MKJA;filmster://result?id=089;https://filmster.b-cdn.net/089/Filmster_089_DE_Video-1.mp4;https://filmster.b-cdn.net/089/Filmster_089_EN_Video-1.mp4;https://filmster.b-cdn.net/089/Filmster_089_DE_Video-2.mp4;https://filmster.b-cdn.net/089/Filmster_089_EN_Video-2.mp4;https://filmster.b-cdn.net/089/Filmster_089_DE_Video-3.mp4;https://filmster.b-cdn.net/089/Filmster_089_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_089_QR.png
090;Room;Raum;2015;Lenny Abrahamson;Brie Larson, Jacob Tremblay, Joan Allen, Sean Bridgers, Tom McCamus;Ireland, Canada, UK, USA;Ja;8,1;Téléfilm Canada;Drama, Thriller;$35,401,758;https://www.youtube.com/watch?v=E_Ci-pAL4eE;https://www.youtube.com/watch?v=e7f-krLf4G0;filmster://result?id=090;https://filmster.b-cdn.net/090/Filmster_090_DE_Video-1.mp4;https://filmster.b-cdn.net/090/Filmster_090_EN_Video-1.mp4;https://filmster.b-cdn.net/090/Filmster_090_DE_Video-2.mp4;https://filmster.b-cdn.net/090/Filmster_090_EN_Video-2.mp4;https://filmster.b-cdn.net/090/Filmster_090_DE_Video-3.mp4;https://filmster.b-cdn.net/090/Filmster_090_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_090_QR.png
091;Amélie;Die fabelhafte Welt der Amélie;2001;Jean-Pierre Jeunet;Audrey Tautou, Mathieu Kassovitz, Rufus, Serge Merlin, Jamel Debbouze;France, Germany;Ja;8,3;Victoires Productions;Komedie, Liebesfilm;$173,921,954;https://www.youtube.com/watch?v=HUECWi5pX7o;https://www.youtube.com/watch?v=LM0sZZ1xFDs;filmster://result?id=091;https://filmster.b-cdn.net/091/Filmster_091_DE_Video-1.mp4;https://filmster.b-cdn.net/091/Filmster_091_EN_Video-1.mp4;https://filmster.b-cdn.net/091/Filmster_091_DE_Video-2.mp4;;https://filmster.b-cdn.net/091/Filmster_091_DE_Video-3.mp4;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_091_QR.png
092;City of God;City of God;2002;Fernando Meirelles;Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen;Brazil, France;Ja;8,6;O2 Filmes;Drama, Krimi;$30,641,770;https://www.youtube.com/watch?v=dcUOO4Itgmw;https://www.youtube.com/watch?v=Lvb_IqLJuH8;filmster://result?id=092;https://filmster.b-cdn.net/092/Filmster_092_DE_Video-1.mp4;https://filmster.b-cdn.net/092/Filmster_092_EN_Video-1.mp4;https://filmster.b-cdn.net/092/Filmster_092_DE_Video-2.mp4;;https://filmster.b-cdn.net/092/Filmster_092_DE_Video-3.mp4;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_092_QR.png
093;Oldboy;Oldboy;2003;Park Chan-wook;Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Kim Byeong-ok, Ji Dae-han;South Korea;Ja;8,3;Show East;Drama, Thriller, Mystery, Action;$17,500,000;https://www.youtube.com/watch?v=tAaBkFChaRg;https://www.youtube.com/watch?v=xQqQ1ijd8TA;filmster://result?id=093;https://filmster.b-cdn.net/093/Filmster_093_DE_Video-1.mp4;https://filmster.b-cdn.net/093/Filmster_093_EN_Video-1.mp4;https://filmster.b-cdn.net/093/Filmster_093_DE_Video-2.mp4;https://filmster.b-cdn.net/093/Filmster_093_EN_Video-2.mp4;https://filmster.b-cdn.net/093/Filmster_093_DE_Video-3.mp4;https://filmster.b-cdn.net/093/Filmster_093_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_093_QR.png
094;El laberinto del fauno;Pans Labyrinth;2006;Guillermo del Toro;Ivana Baquero, Sergi López, Maribel Verdú, Ariadna Gil, Doug Jones;Mexico, Spain;Nein;7,5;Estudios Picasso;Fantasy, Drama, Kriegsfilm;$83,258,226;https://www.youtube.com/watch?v=jVZRnnVSQ8k;https://www.youtube.com/watch?v=nxDKN4wwo5k;filmster://result?id=094;https://filmster.b-cdn.net/094/Filmster_094_DE_Video-1.mp4;https://filmster.b-cdn.net/094/Filmster_094_EN_Video-1.mp4;https://filmster.b-cdn.net/094/Filmster_094_DE_Video-2.mp4;https://filmster.b-cdn.net/094/Filmster_094_EN_Video-2.mp4;https://filmster.b-cdn.net/094/Filmster_094_DE_Video-3.mp4;https://filmster.b-cdn.net/094/Filmster_094_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_094_QR.png
095;The Lives of Others;Das Leben der Anderen;2006;Florian Henckel von Donnersmarck;Martina Gedeck, Ulrich Mühe, Sebastian Koch, Ulrich Tukur, Thomas Thieme;Germany, France;Ja;8,4;Creado Film;Drama, Thriller;$77,672,685;https://www.youtube.com/watch?v=n3_iLOp6IhM;https://www.youtube.com/watch?v=OyNtmsez5yg;filmster://result?id=095;https://filmster.b-cdn.net/095/Filmster_095_DE_Video-1.mp4;https://filmster.b-cdn.net/095/Filmster_095_EN_Video-1.mp4;https://filmster.b-cdn.net/095/Filmster_095_DE_Video-2.mp4;https://filmster.b-cdn.net/095/Filmster_095_EN_Video-2.mp4;https://filmster.b-cdn.net/095/Filmster_095_DE_Video-3.mp4;https://filmster.b-cdn.net/095/Filmster_095_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_095_QR.png
096;Incendies;Die Frau die singt - Incendies;2010;Denis Villeneuve;Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette, Rémy Girard, Allen Altman;Canada, France;Ja;8,3;TS Productions;Drama, Kriegsfilm, Mystery;$6,788,659;https://www.youtube.com/watch?v=XJ69WnwvZhE;https://www.youtube.com/watch?v=Vs8hZfUQMIA;filmster://result?id=096;https://filmster.b-cdn.net/096/Filmster_096_DE_Video-1.mp4;https://filmster.b-cdn.net/096/Filmster_096_EN_Video-1.mp4;https://filmster.b-cdn.net/096/Filmster_096_DE_Video-2.mp4;https://filmster.b-cdn.net/096/Filmster_096_EN_Video-2.mp4;https://filmster.b-cdn.net/096/Filmster_096_DE_Video-3.mp4;https://filmster.b-cdn.net/096/Filmster_096_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_096_QR.png
097;The Lobster;The Lobster;2015;Giorgos Lanthimos;Colin Farrell, Rachel Weisz, Olivia Colman, Léa Seydoux, Michael Smiley;Ireland, UK, Greece, France, Netherlands, USA, Belgium;Nein;7,1;Scarlet Films;Komedie, Drama, Liebesfilm;$15,700,000;https://www.youtube.com/watch?v=LTNZmOJxuAc;https://www.youtube.com/watch?v=kr3Aamy5Jsc;filmster://result?id=097;https://filmster.b-cdn.net/097/Filmster_097_DE_Video-1.mp4;https://filmster.b-cdn.net/097/Filmster_097_EN_Video-1.mp4;https://filmster.b-cdn.net/097/Filmster_097_DE_Video-2.mp4;https://filmster.b-cdn.net/097/Filmster_097_EN_Video-2.mp4;https://filmster.b-cdn.net/097/Filmster_097_DE_Video-3.mp4;https://filmster.b-cdn.net/097/Filmster_097_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_097_QR.png
098;The Father;The Father;2020;Florian Zeller;Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams, Imogen Poots;UK, France, USA;Ja;8,2;Les Films du Cru;Drama;$21,029,340;https://www.youtube.com/watch?v=4TZb7YfK-JI;https://www.youtube.com/watch?v=mZehJ-L05Fs;filmster://result?id=098;https://filmster.b-cdn.net/098/Filmster_098_DE_Video-1.mp4;https://filmster.b-cdn.net/098/Filmster_098_EN_Video-1.mp4;https://filmster.b-cdn.net/098/Filmster_098_DE_Video-2.mp4;https://filmster.b-cdn.net/098/Filmster_098_EN_Video-2.mp4;https://filmster.b-cdn.net/098/Filmster_098_DE_Video-3.mp4;https://filmster.b-cdn.net/098/Filmster_098_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_098_QR.png
099;Dr. No;James Bond 007 jagt Dr. No;1962;Terence Young;Sean Connery, Ursula Andress, Joseph Wiseman, Jack Lord, Anthony Dawson;UK, USA, Jamaica;Nein;7,2;EON Productions;Abenteuer, Action, Thriller;$59,000,000;https://www.youtube.com/watch?v=pw61uyA0F8A;https://www.youtube.com/watch?v=chp88gitGOw;filmster://result?id=099;https://filmster.b-cdn.net/099/Filmster_099_DE_Video-1.mp4;https://filmster.b-cdn.net/099/Filmster_099_EN_Video-1.mp4;https://filmster.b-cdn.net/099/Filmster_099_DE_Video-2.mp4;https://filmster.b-cdn.net/099/Filmster_099_EN_Video-2.mp4;https://filmster.b-cdn.net/099/Filmster_099_DE_Video-3.mp4;https://filmster.b-cdn.net/099/Filmster_099_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_099_QR.png
100;From Russia with Love;James Bond 007 - Liebesgrüße aus Moskau;1963;Terence Young;Sean Connery, Daniela Bianchi, Pedro Armendáriz, Robert Shaw, Lotte Lenya;UK, USA, Turkey, Italy;Nein;7,3;EON Productions;Action, Thriller, Abenteuer;$78,900,000;https://www.youtube.com/watch?v=t9AeIdMQqR8;https://www.youtube.com/watch?v=uiOyYHSzK2E;filmster://result?id=100;https://filmster.b-cdn.net/100/Filmster_100_DE_Video-1.mp4;https://filmster.b-cdn.net/100/Filmster_100_EN_Video-1.mp4;https://filmster.b-cdn.net/100/Filmster_100_DE_Video-2.mp4;https://filmster.b-cdn.net/100/Filmster_100_EN_Video-2.mp4;https://filmster.b-cdn.net/100/Filmster_100_DE_Video-3.mp4;https://filmster.b-cdn.net/100/Filmster_100_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_100_QR.png
101;Goldfinger;James Bond 007 - Goldfinger;1964;Guy Hamilton;Sean Connery, Gert Fröbe, Honor Blackman, Harold Sakata, Shirley Eaton;UK, USA;Nein;7,7;EON Productions;Abenteuer, Action, Thriller;$124,900,000;https://www.youtube.com/watch?v=MA65V-oLKa8;https://www.youtube.com/watch?v=6ylpQBKdsKI;filmster://result?id=101;https://filmster.b-cdn.net/101/Filmster_101_DE_Video-1.mp4;https://filmster.b-cdn.net/101/Filmster_101_EN_Video-1.mp4;https://filmster.b-cdn.net/101/Filmster_101_DE_Video-2.mp4;https://filmster.b-cdn.net/101/Filmster_101_EN_Video-2.mp4;https://filmster.b-cdn.net/101/Filmster_101_DE_Video-3.mp4;https://filmster.b-cdn.net/101/Filmster_101_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_101_QR.png
102;Thunderball;James Bond 007 - Feuerball;1965;Terence Young;Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi, Rik Van Nutter;UK, USA, France, Bahamas;Nein;6,9;EON Productions;Abenteuer, Action, Thriller;$141,200,000;https://www.youtube.com/watch?v=CbqYnB_wQJQ;https://www.youtube.com/watch?v=nzxJrDU--Pk;filmster://result?id=102;https://filmster.b-cdn.net/102/Filmster_102_DE_Video-1.mp4;https://filmster.b-cdn.net/102/Filmster_102_EN_Video-1.mp4;https://filmster.b-cdn.net/102/Filmster_102_DE_Video-2.mp4;https://filmster.b-cdn.net/102/Filmster_102_EN_Video-2.mp4;https://filmster.b-cdn.net/102/Filmster_102_DE_Video-3.mp4;https://filmster.b-cdn.net/102/Filmster_102_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_102_QR.png
103;You Only Live Twice;James Bond 007 - Man lebt nur zweimal;1967;Lewis Gilbert;Sean Connery, Akiko Wakabayashi, 浜美枝, Tetsurō Tamba, Teru Shimada;UK, Japan, USA;Nein;6,8;EON Productions;Action, Thriller, Abenteuer;$111,600,000;https://www.youtube.com/watch?v=-gGiYrS2Y1k;https://www.youtube.com/watch?v=qXQjduKSPq4;filmster://result?id=103;https://filmster.b-cdn.net/103/Filmster_103_DE_Video-1.mp4;https://filmster.b-cdn.net/103/Filmster_103_EN_Video-1.mp4;https://filmster.b-cdn.net/103/Filmster_103_DE_Video-2.mp4;https://filmster.b-cdn.net/103/Filmster_103_EN_Video-2.mp4;https://filmster.b-cdn.net/103/Filmster_103_DE_Video-3.mp4;https://filmster.b-cdn.net/103/Filmster_103_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_103_QR.png
104;On Her Majesty’s Secret Service;James Bond 007 - Im Geheimdienst Ihrer Majestät;1969;Peter R. Hunt;George Lazenby, Diana Rigg, Telly Savalas, Gabriele Ferzetti, Ilse Steppat;UK;Nein;6,7;EON Productions;Abenteuer, Action, Thriller;$82,000,000;https://www.youtube.com/watch?v=dOLq5Rg9N-c;https://www.youtube.com/watch?v=Qpa-5AtXI0c;filmster://result?id=104;https://filmster.b-cdn.net/104/Filmster_104_DE_Video-1.mp4;https://filmster.b-cdn.net/104/Filmster_104_EN_Video-1.mp4;;https://filmster.b-cdn.net/104/Filmster_104_EN_Video-2.mp4;;https://filmster.b-cdn.net/104/Filmster_104_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_104_QR.png
105;Diamonds Are Forever;James Bond 007 - Diamantenfieber;1971;Guy Hamilton;Sean Connery, Jill St. John, Charles Gray, Lana Wood, Jimmy Dean;UK, France, USA, Netherlands;Nein;6,5;EON Productions;Action, Thriller;$116,019,547;https://www.youtube.com/watch?v=9yOamj4mlnE;https://www.youtube.com/watch?v=E9UpwKGEmDc;filmster://result?id=105;https://filmster.b-cdn.net/105/Filmster_105_DE_Video-1.mp4;https://filmster.b-cdn.net/105/Filmster_105_EN_Video-1.mp4;https://filmster.b-cdn.net/105/Filmster_105_DE_Video-2.mp4;https://filmster.b-cdn.net/105/Filmster_105_EN_Video-2.mp4;https://filmster.b-cdn.net/105/Filmster_105_DE_Video-3.mp4;https://filmster.b-cdn.net/105/Filmster_105_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_105_QR.png
106;Live and Let Die;James Bond 007 - Leben und sterben lassen;1973;Guy Hamilton;Roger Moore, Yaphet Kotto, Jane Seymour, Clifton James, Julius Harris;UK, USA, Jamaica;Nein;6,7;EON Productions;Abenteuer, Action, Thriller;$126,400,000;https://www.youtube.com/watch?v=KTzsm9-XWQo;https://www.youtube.com/watch?v=0xng9anP5fU;filmster://result?id=106;https://filmster.b-cdn.net/106/Filmster_106_DE_Video-1.mp4;https://filmster.b-cdn.net/106/Filmster_106_EN_Video-1.mp4;https://filmster.b-cdn.net/106/Filmster_106_DE_Video-2.mp4;https://filmster.b-cdn.net/106/Filmster_106_EN_Video-2.mp4;https://filmster.b-cdn.net/106/Filmster_106_DE_Video-3.mp4;https://filmster.b-cdn.net/106/Filmster_106_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_106_QR.png
107;The Man with the Golden Gun;James Bond 007 - Der Mann mit dem goldenen Colt;1974;Guy Hamilton;Roger Moore, Christopher Lee, Britt Ekland, Maud Adams, Hervé Villechaize;UK, USA, Thailand, China;Nein;6,7;EON Productions;Abenteuer, Action, Thriller;$97,600,000;https://www.youtube.com/watch?v=gF5fr3Zhi7E;https://www.youtube.com/watch?v=gF5fr3Zhi7E;filmster://result?id=107;https://filmster.b-cdn.net/107/Filmster_107_DE_Video-1.mp4;https://filmster.b-cdn.net/107/Filmster_107_EN_Video-1.mp4;https://filmster.b-cdn.net/107/Filmster_107_DE_Video-2.mp4;https://filmster.b-cdn.net/107/Filmster_107_EN_Video-2.mp4;https://filmster.b-cdn.net/107/Filmster_107_DE_Video-3.mp4;https://filmster.b-cdn.net/107/Filmster_107_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_107_QR.png
108;The Spy Who Loved Me;James Bond 007 - Der Spion, der mich liebte;1977;Lewis Gilbert;Roger Moore, Barbara Bach, Curd Jürgens, Richard Kiel, Caroline Munro;UK, USA, Switzerland, Bahamas, Canada, Italy, Egypt;Nein;7;EON Productions;Abenteuer, Action, Thriller;$185,438,673;https://www.youtube.com/watch?v=UBxG_TJvYTg;https://www.youtube.com/watch?v=mVE_U3koj88;filmster://result?id=108;https://filmster.b-cdn.net/108/Filmster_108_DE_Video-1.mp4;https://filmster.b-cdn.net/108/Filmster_108_EN_Video-1.mp4;https://filmster.b-cdn.net/108/Filmster_108_DE_Video-2.mp4;https://filmster.b-cdn.net/108/Filmster_108_EN_Video-2.mp4;https://filmster.b-cdn.net/108/Filmster_108_DE_Video-3.mp4;https://filmster.b-cdn.net/108/Filmster_108_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_108_QR.png
109;Moonraker;James Bond 007 - Moonraker - Streng geheim;1979;Lewis Gilbert;Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel, Corinne Cléry;UK, France, USA;Nein;6,3;EON Productions;Action, Abenteuer, Thriller, Science Fiction;$210,308,099;https://www.youtube.com/watch?v=KFOOjYU16KE;https://www.youtube.com/watch?v=KFOOjYU16KE;filmster://result?id=109;https://filmster.b-cdn.net/109/Filmster_109_DE_Video-1.mp4;https://filmster.b-cdn.net/109/Filmster_109_EN_Video-1.mp4;https://filmster.b-cdn.net/109/Filmster_109_DE_Video-2.mp4;https://filmster.b-cdn.net/109/Filmster_109_EN_Video-2.mp4;https://filmster.b-cdn.net/109/Filmster_109_DE_Video-3.mp4;https://filmster.b-cdn.net/109/Filmster_109_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_109_QR.png
110;For Your Eyes Only;James Bond 007 - In tödlicher Mission;1981;John Glen;Roger Moore, Carole Bouquet, Chaim Topol, Julian Glover, Lynn-Holly Johnson;UK, USA;Nein;6,7;EON Productions;Abenteuer, Action, Thriller;$195,300,000;https://www.youtube.com/watch?v=e0iF8TCk4Fw;https://www.youtube.com/watch?v=q9-DxdXSsqs;filmster://result?id=110;https://filmster.b-cdn.net/110/Filmster_110_DE_Video-1.mp4;https://filmster.b-cdn.net/110/Filmster_110_EN_Video-1.mp4;https://filmster.b-cdn.net/110/Filmster_110_DE_Video-2.mp4;https://filmster.b-cdn.net/110/Filmster_110_EN_Video-2.mp4;https://filmster.b-cdn.net/110/Filmster_110_DE_Video-3.mp4;https://filmster.b-cdn.net/110/Filmster_110_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_110_QR.png
111;Octopussy;James Bond 007 - Octopussy;1983;John Glen;Roger Moore, Maud Adams, Louis Jourdan, Kristina Wayborn, Kabir Bedi;UK, USA, India;Nein;6,5;EON Productions;Abenteuer, Action, Thriller;$187,500,000;https://www.youtube.com/watch?v=q1hLWZzgZvU;https://www.youtube.com/watch?v=2_f5eue2irk;filmster://result?id=111;https://filmster.b-cdn.net/111/Filmster_111_DE_Video-1.mp4;https://filmster.b-cdn.net/111/Filmster_111_EN_Video-1.mp4;https://filmster.b-cdn.net/111/Filmster_111_DE_Video-2.mp4;https://filmster.b-cdn.net/111/Filmster_111_EN_Video-2.mp4;https://filmster.b-cdn.net/111/Filmster_111_DE_Video-3.mp4;https://filmster.b-cdn.net/111/Filmster_111_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_111_QR.png
