Nr;Titel Original;Titel Deutsch;Jahr;Regissure;Hauptdarsteller;Produktionsland;IMDB-Top 250;IMDb-Charts;Studio;Genre;Einspielergebnise;YT-Link Englisch;YT-Link Deutsch;App-Link;App-Link_Video-1_DE;App-Link_Video-1_EN;App-Link_Video-2_DE;App-Link_Video-2_EN;App-Link_Video-3_DE;App-Link_Video-3_EN;QR-Cod Pfad
368;Die Wilden Kerle 2;Die Wilden Kerle 2;2005;Joachim Masannek;Jimi Blue Ochsenknecht, Sarah Kim Gries, Raban Bieling;Germany;Nein;4,4;SamFilm;Comedy, Family, Sport;;https://www.youtube.com/watch?v=1XIZ3SKIKAk;https://www.youtube.com/watch?v=1XIZ3SKIKAk;filmster://result?id=368;https://filmster.b-cdn.net/368/Filmster_368_DE_Video-1.mp4;https://filmster.b-cdn.net/368/Filmster_368_EN_Video-1.mp4;https://filmster.b-cdn.net/368/Filmster_368_DE_Video-2.mp4;https://filmster.b-cdn.net/368/Filmster_368_EN_Video-2.mp4;https://filmster.b-cdn.net/368/Filmster_368_DE_Video-3.mp4;https://filmster.b-cdn.net/368/Filmster_368_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_368_QR.png
369;Die Wilden Kerle 3;Die Wilden Kerle 3;2006;Joachim Masannek;Jimi Blue Ochsenknecht, Sarah Kim Gries, Constantin Gastmann;Germany;Nein;3,8;Bayerischer Banken-Fonds, SamFilm;Comedy, Family, Sport;;https://www.youtube.com/watch?v=GbhfAY_0fZ0;https://www.youtube.com/watch?v=GbhfAY_0fZ0;filmster://result?id=369;https://filmster.b-cdn.net/369/Filmster_369_DE_Video-1.mp4;https://filmster.b-cdn.net/369/Filmster_369_EN_Video-1.mp4;https://filmster.b-cdn.net/369/Filmster_369_DE_Video-2.mp4;https://filmster.b-cdn.net/369/Filmster_369_EN_Video-2.mp4;https://filmster.b-cdn.net/369/Filmster_369_DE_Video-3.mp4;https://filmster.b-cdn.net/369/Filmster_369_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_369_QR.png
370;Die Wilden Kerle 4;Die Wilden Kerle 4;2007;Joachim Masannek;Jimi Blue Ochsenknecht, Wilson Gonzalez, Sarah Kim Gries;Germany, Bahamas;Nein;3,6;Bayerischer Banken-Fonds, SamFilm;Comedy, Family, Sport;;https://www.youtube.com/watch?v=2L9rVjob01M;https://www.youtube.com/watch?v=2L9rVjob01M;filmster://result?id=370;https://filmster.b-cdn.net/370/Filmster_370_DE_Video-1.mp4;https://filmster.b-cdn.net/370/Filmster_370_EN_Video-1.mp4;https://filmster.b-cdn.net/370/Filmster_370_DE_Video-2.mp4;https://filmster.b-cdn.net/370/Filmster_370_EN_Video-2.mp4;https://filmster.b-cdn.net/370/Filmster_370_DE_Video-3.mp4;https://filmster.b-cdn.net/370/Filmster_370_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_370_QR.png
371;Die Wilden Kerle 5;Die Wilden Kerle 5;2008;Joachim Masannek;Jimi Blue Ochsenknecht, Sarah Kim Gries, Marlon Wessel;Germany;Nein;3,6;SamFilm;Action, Adventure, Family;;https://www.youtube.com/watch?v=uZSaSo6NWMQ;https://www.youtube.com/watch?v=uZSaSo6NWMQ;filmster://result?id=371;https://filmster.b-cdn.net/371/Filmster_371_DE_Video-1.mp4;https://filmster.b-cdn.net/371/Filmster_371_EN_Video-1.mp4;https://filmster.b-cdn.net/371/Filmster_371_DE_Video-2.mp4;https://filmster.b-cdn.net/371/Filmster_371_EN_Video-2.mp4;https://filmster.b-cdn.net/371/Filmster_371_DE_Video-3.mp4;https://filmster.b-cdn.net/371/Filmster_371_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_371_QR.png
372;Zweiohrküken;Zweiohrküken;2009;Til Schweiger;;Germany;Nein;;Barefoot Films, Warner Bros. Entertainment Germany, Seven Pictures Film;Comedy, Romance;;https://www.youtube.com/watch?v=S_not5FwLfw;https://www.youtube.com/watch?v=JLNyiwRlVXA;filmster://result?id=372;https://filmster.b-cdn.net/372/Filmster_372_DE_Video-1.mp4;https://filmster.b-cdn.net/372/Filmster_372_EN_Video-1.mp4;https://filmster.b-cdn.net/372/Filmster_372_DE_Video-2.mp4;https://filmster.b-cdn.net/372/Filmster_372_EN_Video-2.mp4;https://filmster.b-cdn.net/372/Filmster_372_DE_Video-3.mp4;https://filmster.b-cdn.net/372/Filmster_372_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_372_QR.png
373;Kokowääh 2;Kokowääh 2;2013;Til Schweiger;Arthur Abraham, Andreas Adam, Sascha Alexander;Germany;Nein;5,3;Barefoot Films, Béla Jarzyk Production;Comedy;;https://www.youtube.com/watch?v=ziGhVajlbds;https://www.youtube.com/watch?v=ziGhVajlbds;filmster://result?id=373;https://filmster.b-cdn.net/373/Filmster_373_DE_Video-1.mp4;https://filmster.b-cdn.net/373/Filmster_373_EN_Video-1.mp4;https://filmster.b-cdn.net/373/Filmster_373_DE_Video-2.mp4;https://filmster.b-cdn.net/373/Filmster_373_EN_Video-2.mp4;https://filmster.b-cdn.net/373/Filmster_373_DE_Video-3.mp4;https://filmster.b-cdn.net/373/Filmster_373_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_373_QR.png
374;Manta Manta – Zwoter Teil;Manta Manta - Zwoter Teil;2023;Til Schweiger;;Germany;Nein;;Constantin Film;Comedy, Action, Adventure;;https://www.youtube.com/watch?v=xGgWiKka1iY;https://www.youtube.com/watch?v=mbGC0Xo0-Ig;filmster://result?id=374;https://filmster.b-cdn.net/374/Filmster_374_DE_Video-1.mp4;https://filmster.b-cdn.net/374/Filmster_374_EN_Video-1.mp4;https://filmster.b-cdn.net/374/Filmster_374_DE_Video-2.mp4;;https://filmster.b-cdn.net/374/Filmster_374_DE_Video-3.mp4;;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_374_QR.png
375;Hui Buh und das Hexenschloss;Hui Buh und das Hexenschloss;2022;Sebastian Niemann;Michael Herbig, Christoph Maria Herbst, Rick Kavanian;Germany;Nein;5,2;Rat Pack Filmproduktion;Adventure, Comedy, Family;;https://www.youtube.com/watch?v=VmZ7DBbBeG8;https://www.youtube.com/watch?v=VmZ7DBbBeG8;filmster://result?id=375;https://filmster.b-cdn.net/375/Filmster_375_DE_Video-1.mp4;https://filmster.b-cdn.net/375/Filmster_375_EN_Video-1.mp4;https://filmster.b-cdn.net/375/Filmster_375_DE_Video-2.mp4;https://filmster.b-cdn.net/375/Filmster_375_EN_Video-2.mp4;https://filmster.b-cdn.net/375/Filmster_375_DE_Video-3.mp4;https://filmster.b-cdn.net/375/Filmster_375_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_375_QR.png
376;Das Kanu des Manitu;Das Kanu des Manitu;2025;Michael Herbig;Michael Herbig, Christian Tramitz, Rick Kavanian;Germany;Nein;N/A;Constantin Film, herbX film;Comedy, Western;;https://www.youtube.com/watch?v=0BFt4yIvD8k;https://www.youtube.com/watch?v=0BFt4yIvD8k;filmster://result?id=376;https://filmster.b-cdn.net/376/Filmster_376_DE_Video-1.mp4;https://filmster.b-cdn.net/376/Filmster_376_EN_Video-1.mp4;https://filmster.b-cdn.net/376/Filmster_376_DE_Video-2.mp4;https://filmster.b-cdn.net/376/Filmster_376_EN_Video-2.mp4;https://filmster.b-cdn.net/376/Filmster_376_DE_Video-3.mp4;https://filmster.b-cdn.net/376/Filmster_376_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_376_QR.png
377;Men in Black;Men in Black;1997;Barry Sonnenfeld;Tommy Lee Jones, Will Smith, Linda Fiorentino;USA;Nein;7,3;Columbia Pictures, Amblin Entertainment, MacDonald/Parkes Productions;Action, Adventure, Comedy;$250,690,539;https://www.youtube.com/watch?v=UxUTTrU6PA4;https://www.youtube.com/watch?v=6rcvahLFLVU;filmster://result?id=377;https://filmster.b-cdn.net/377/Filmster_377_DE_Video-1.mp4;https://filmster.b-cdn.net/377/Filmster_377_EN_Video-1.mp4;https://filmster.b-cdn.net/377/Filmster_377_DE_Video-2.mp4;https://filmster.b-cdn.net/377/Filmster_377_EN_Video-2.mp4;https://filmster.b-cdn.net/377/Filmster_377_DE_Video-3.mp4;https://filmster.b-cdn.net/377/Filmster_377_EN_Video-3.mp4;/Users/tomasschafer/Filmster-Spiel/Karten_V4/qr_codes/Filmster_377_QR.png
